site_id;site_nom;site_type;site_identif_date;site_actu_date;site_url;site_securite;site_occupation;site_statut;activite_libelle;comm_nom;comm_insee;bati_type;bati_nombre;bati_pollution;bati_vacance;bati_patrimoine;bati_etat;local_ancien_annee;local_recent_annee;proprio_type;proprio_personne;proprio_nom;sol_pollution_existe;sol_pollution_origine;unite_fonciere_surface;unite_fonciere_refcad;urba_zone_type;urba_zone_lib;urba_doc_type;source_nom;source_url;source_producteur;geompoint
03095_17913;Anc. Décharge Communale OM de Meunière;inconnu;2022-10-10;2022-10-10;http://fiches-risques.brgm.fr/georisques/basias-detaillee/AUV0301359;inconnu;inconnu;friche potentielle;"Collecte et stockage des déchets non dangereux dont les ordures ménagères (décharge d'O.M. ; déchetterie)";CUSSET;03095;inconnu;2.0;inconnu;inconnu;inconnu;inconnu;1971.0;1971.0;P5a;personne morale;COMMUNE DE CUSSET;inconnu;inconnu;99426.0;{03095000BK0051,03095000BK0052,03095000BK0053,03095000BK0233,03095000BK0234,03095000BK0297,03095000BK0357,03095000BK0420,03095000BK0421,03095000BK0567,03095000BK0568,03095000BW0053,03095000BW0054,03095000BW0055,03095000BW0056,03095000BW0186};U;UE - UE : Ensembles locatifs sociaux et équipements publics;PLU;Site Basias ou Basol non vérifié par le Cerema;https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/;lou dupont;POINT (3.469862 46.13434)
06085_16087;Serrurerie et garage;inconnu;2022-10-10;2022-10-10;http://fiches-risques.brgm.fr/georisques/basias-detaillee/PAC0602878;inconnu;inconnu;friche potentielle;Garages, ateliers, mécanique et soudure;MOUGINS;06085;inconnu;2.0;inconnu;inconnu;inconnu;inconnu;1950.0;1988.0;;personne physique;_X_;inconnu;inconnu;1967.0;{06085000CE0156,06085000CE0157,06085000CE0158};U;UD - SECTEUR DISCONTINU DOTE D'UNE DENSITE FAIBLE;PLU;Site Basias ou Basol non vérifié par le Cerema;https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/;lou dupont;POINT (6.999754 43.58304)
06088_10998;Appel à projet Recyclage Foncier 2021 2nde édition (Dossier N° 5833896) - Provence-Alpes-Côte d'Azur - 06 - Alpes-Maritimes - Nice (06200) - friche: ZAC NICE MERIDIA;mixte;2021-12-01;2021-12-01;;inconnu;inconnu;friche avec projet;Au total, ce sont près d’une quarantaine de parcelles qui ont été acquises pour ce projet. Ces parcelles sont considérées comme des friches depuis 2006-2010. Des études géotechniques, études de sol et des eaux souterraines ont été réalisées entre 2014 et 2019.  Des études complémentaires sur l’historique du site, et des diagnostics environnementaux ont été réalisés sur l’ensemble des parcelles entre 2014 et 2021.;NICE;06088;inconnu;11.0;inconnu;inconnu;inconnu;inconnu;;2022.0;G2a|G2c|G2c Z4a|P1b E1a|P3a G1c|P4a|P5a;personne morale;CHAMB COMMERC INDUSTRIE NICE COTE D'AZUR|COMMUNE DE NICE|DEPARTEMENT DES ALPES MARITIMES|ETAT PAR DIRECTION DE L IMMOBILIER DE L ETAT|LES COPROPRIETAIRES DE L EDDV 1 JOIA MERIDIA|LES COPROPRIETAIRES DE L ENSEMBLE IMMOBILIER THE CROWN|LES COPROPRIETAIRES DE L IMMEUBLE PARKING 25 AV SIMONE VEIL|LES COPROPRIETAIRES DU CAMPUS SUD METIERS|METROPOLE NICE COTE D AZUR|SCI DU COMMISSARIAT DE NICE LES MOULINS|UNIVERSITE DE NICE;pollution supposée;inconnu;97831.0;{06088000OH0398,06088000OH0518,06088000OH0522,06088000OH0526,06088000OH0547,06088000OH0552,06088000OH0609,06088000OH0612,06088000OH0616,06088000OH0620,06088000OH0623,06088000OH0625,06088000OH0629,06088000OH0543,06088000OH0546,06088000OH0548,06088000OH0550,06088000OH0662,06088000OH0664,06088000OH0665,06088000OH0545,06088000OH0549,06088000OH0551,06088000OH0337,06088000OH0350,06088000OH0449,06088000OH0451,06088000OH0453,06088000OH0457,06088000OH0486,06088000OH0487,06088000OH0601,06088000OH0608,06088000OH0611,06088000OH0613,06088000OH0615,06088000OH0617,06088000OH0619,06088000OH0621,06088000OH0515,06088000OH0516,06088000OH0335,06088000OH0336,06088000OH0392,06088000OH0525,06088000OH0553,06088000OH0555,06088000OH0557,06088000OH0559,06088000OH0561,06088000OH0246,06088000OH0324,06088000OH0326,06088000OH0328,06088000OH0334,06088000OH0338,06088000OH0344,06088000OH0558,06088000OH0560,06088000OH0638,06088000OH0652,06088000OH0655,06088000OH0661,06088000OH0663,06088000OH0421,06088000OH0423,06088000OH0530,06088000OH0532,06088000OH0533,06088000OH0538,06088000OH0563,06088000OH0631,06088000OH0634,06088000OH0635,06088000OH0656};U;UPn - Zone UP : zones de projets;PLUI;Appel à projet Fonds Friches;https://www.economie.gouv.fr/plan-de-relance/profils/collectivites/fonds-pour-le-recyclage-des-friches;Appel à projet Fonds Friches;POINT (7.203463 43.67994)
76175_26890;Maison rue du val Ricard;friche d'habitat;2022-11-28;2022-11-28;;;inconnu;friche sans projet;;Clais;76175;inconnu;0.0;inconnu;inconnu;inconnu;dégradation très importante;;;;personne physique;_X_;inconnu;inconnu;1817.0;{76175000AC0077};;;;EPF Normandie;;EPF Normandie;POINT (1.44829 49.80831)
06088_16211;Blanchisserie;inconnu;2022-10-10;2022-10-10;http://fiches-risques.brgm.fr/georisques/basias-detaillee/PAC0604152;inconnu;inconnu;friche potentielle;"Blanchisserie-teinturerie (gros, ou détail lorsque les pressings de quartier sont retenus par le Comité de pilotage de l'IHR) ; blanchissement et traitement des pailles, fibres textiles, chiffons";NICE;06088;inconnu;1.0;inconnu;inconnu;inconnu;inconnu;1962.0;1962.0;G2a;personne morale;COPROPRIETAIRES DE L'IMM LE MADELON;inconnu;inconnu;890.0;{06088000CR0010,06088000CR0011};U;UFb5 - Zone UF : zones pavillonnaires;PLUI;Site Basias ou Basol non vérifié par le Cerema;https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/;lou dupont;POINT (7.227269 43.71092)
52465_36246;Auberge du Col du Hantz;friche commerciale;2025-01-01;2025-10-01;;;;friche sans projet;;Saulxures;52465;;;;;;dégradation très importante;;;;;;;;;;;;PLU;;;DDT 67;POINT (7.089416 48.40237)
06088_29121;Dépôt de bitume;inconnu;2024-08-09;2024-08-09;;inconnu;inconnu;friche sans projet;;NICE;06088;inconnu;1.0;inconnu;inconnu;inconnu;inconnu;1820.0;1820.0;G2a;personne morale;LES COPROPRIETAIRES;inconnu;inconnu;5149.0;{06088000LX0500,06088000LX0525};U;UZa4 - Zone UZa : zones d'activités mixtes (artisanat, bureaux, commerce...);PLUI;Sud Foncier Eco;https://sudfonciereco.maregionsud.fr/;Sud Foncier Eco;POINT (7.243596 43.71449)
06088_6374;Zac Méridia - lot 2.5a;inconnu;2022-10-10;2022-10-10;;inconnu;inconnu;friche sans projet;;NICE;06088;inconnu;2.0;inconnu;inconnu;inconnu;inconnu;1927.0;1927.0;F5b;personne morale;ETABLISSEMENT PUBLIC D'AMENAGEMENT ECOVALLEE - PLAINE DU VAR;inconnu;inconnu;11651.0;{06088000OH0266,06088000OH0680,06088000OH0682,06088000OH0683};U;UPn - Zone UP : zones de projets;PLUI;Contributeur Cerema;;Contributeur Cerema;POINT (7.199612 43.68189)
06088_9317;Fonderie des métaux et des alliages;inconnu;2022-10-10;2022-10-10;http://fiches-risques.brgm.fr/georisques/basias-detaillee/PAC0601601;inconnu;inconnu;friche potentielle;Fonderie;NICE;06088;inconnu;0.0;inconnu;inconnu;inconnu;inconnu;;;G2a;personne morale;LES COPROPRIETAIRES DU 114 RTE DE TURIN DOLCE VIA;inconnu;inconnu;67176.0;{06088000IN0067,06088000IO0047,06088000IO0048,06088000IO0053,06088000IO0055,06088000IO0106,06088000IO0108};U;UPa1 - Zone UP : zones de projets;PLUI;Site Basias ou Basol non vérifié par le Cerema;https://www.data.gouv.fr/fr/datasets/inventaire-des-sites-pollues/;lou dupont;POINT (7.286279 43.71845)
60506_36042;Valorisation de la friche ABEX;friche industrielle;;;;;;friche sans projet;;PONT L EVEQUE;60506;;1.0;;;;;1950.0;1950.0;F7b;personne morale;FONCIERE DE LIBERATION;pollution avérée;;37899.0;{60506000AD0017,60506000AD0018,60506000AD0019,60506000AD0079,60506000AD0082};;;;;;urbanvitaliz;POINT (2.986941 49.56997)
